name,season,mpg,gp,pts_per_40,ast_per_40,oreb_per_40,dreb_per_40,stl_per_40,blks_per_40,tov_per_40
Al-Farouq Aminu,2010,31.3,31,627.4760383386581,52.3961661341853,169.96805111821087,254.31309904153355,56.23003194888179,56.23003194888179,126.51757188498402
Brandon Knight,2011,35.9,38,732.033426183844,177.15877437325904,27.85515320334262,142.6183844011142,27.85515320334262,8.913649025069638,133.70473537604457
Terrence Ross,2012,31.1,35,738.2636655948552,63.02250803858521,61.73633440514469,227.65273311897104,56.59163987138263,42.443729903536976,90.032154340836
Kentavious Caldwell-Pope,2013,33.9,32,697.3451327433628,68.43657817109145,43.657817109144545,223.00884955752213,76.69616519174042,20.058997050147497,75.51622418879056
Nik Stauskas,2014,35.6,36,707.8651685393259,132.58426966292134,16.85393258426966,101.12359550561797,22.47191011235955,12.359550561797752,75.28089887640449
Stanley Johnson,2015,28.4,38,736.6197183098592,88.73239436619718,105.63380281690142,242.25352112676057,80.28169014084509,21.126760563380284,115.49295774647888
Marquese Chriss,2016,24.9,34,755.0200803212851,41.76706827309238,136.54618473895584,157.429718875502,51.40562248995984,88.35341365461846,110.84337349397592
Collin Sexton,2018,29.9,33,845.4849498327759,159.19732441471572,45.484949832775925,120.40133779264215,37.458193979933114,4.013377926421405,123.07692307692308
Obi Toppin,2020,31.6,31,786.0759493670887,84.81012658227847,46.835443037974684,249.36708860759492,37.974683544303794,48.10126582278481,86.07594936708861
Jaxson Hayes,2019,23.3,32,549.3562231759656,15.450643776824034,96.13733905579397,178.54077253218884,32.618025751072956,121.88841201716738,49.78540772532189
Franz Wagner,2021,31.7,28,440.3785488958991,105.99369085173501,25.236593059936908,205.6782334384858,44.16403785488959,36.59305993690852,45.42586750788644
Jarace Walker,2023,27.7,36,580.5054151624549,93.86281588447653,118.41155234657039,235.37906137184115,50.541516245487365,66.4259927797834,76.53429602888087
Rob Dillingham,2024,23.2,32,837.9310344827586,215.51724137931035,13.793103448275863,148.27586206896552,56.896551724137936,3.4482758620689657,110.3448275862069
Egor Demin,2025,27.5,33,510.54545454545456,261.8181818181818,14.545454545454547,171.63636363636363,55.27272727272727,17.454545454545453,141.0909090909091
