name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est,fga_est,ts_pct,ast_to_tov,ft_pct,three_pt_pct,rim_pct,dunk_rate,position
Motiejus Krivas,,2026,131,168,4,13,48,43,57,49,27,2,120,198,43,28,73,407,39,86,73.2,25.4,21.2,53,9.1,21.2,1,,,,,1755,210,0.7167511975204283,0.8113207547169812,0.7797619047619048,0.3076923076923077,0.5274725274725275,0.2967032967032967,C
Thomas Haugh,,2026,154,199,58,178,71,65,13,27,42,4,73,136,73,36,33,580,34,81,61.6,33.3,22.5,51,8.8,19.0,0,,,,,2038,354,0.6567623878974544,1.4313725490196079,0.7738693467336684,0.3258426966292135,0.5220588235294118,0.3088235294117647,SF
Alex Condon,,2026,126,194,9,53,86,65,46,38,48,4,78,176,123,23,48,513,34,83,,30.5,21.5,83,8.4,19.0,1,,,,,1863,288,0.6870044996785943,1.4819277108433735,0.6494845360824743,0.16981132075471697,0.5695364238410596,0.31788079470198677,PF
Patrick Ngongba,,2026,87,131,8,31,57,37,7,11,42,3,70,116,64,19,34,323,32,83,94.8,21.9,19.9,42,7.8,22.6,0,,,,,1178,143,0.8049242424242424,1.5238095238095237,0.6641221374045801,0.25806451612903225,0.6063829787234043,0.44680851063829785,C
Isaiah Evans,,2026,98,114,101,280,40,26,23,37,22,2,15,107,48,27,25,571,38,78,97.2,28.2,20.1,43,8.2,22.6,0,,,,,1785,406,0.6258768853034022,1.1162790697674418,0.8596491228070176,0.3607142857142857,0.6060606060606061,0.3333333333333333,SG
Labaron Philon,,2026,158,198,81,203,108,59,49,61,5,0,19,98,165,38,6,725,33,76,93.2,30.9,20.2,84,9.9,14.4,0,,,,,1887,480,0.639194526731556,1.9642857142857142,0.797979797979798,0.39901477832512317,0.6467065868263473,0.029940119760479042,SG
"Paul McNeil, Jr.",,2026,89,108,105,246,21,15,8,25,4,0,27,94,28,21,13,470,34,77,89.0,28.6,19.7,14,6.6,10.7,0,,,,,1686,315,0.6482400970980912,2.0,0.8240740740740741,0.4268292682926829,0.5833333333333334,0.1111111111111111,SG
Juke Harris,,2026,195,249,87,262,80,56,54,59,13,3,44,185,68,44,7,750,35,79,83.6,35.1,20.3,58,6.8,6.1,0,,,,,2127,511,0.6042928967384299,1.1724137931034482,0.7831325301204819,0.3320610687022901,0.5882352941176471,0.09558823529411764,SF
Jayden Quaintance,,2026,4,13,0,0,5,3,1,2,2,1,8,12,2,2,3,20,4,83,98.6,16.8,18.5,6,10.4,11.9,0,,,,,116,11,0.5980861244019139,0.3333333333333333,0.3076923076923077,0.0,0.625,0.25,C
Morez Johnson Jr.,,2026,122,156,12,35,114,58,19,34,50,3,100,193,48,27,44,524,40,81,94.2,25.1,20.0,53,10.0,22.6,0,,,,,1787,260,0.7972249269717624,0.9056603773584906,0.782051282051282,0.34285714285714286,0.6627906976744186,0.29069767441860467,PF
Christian Anderson,,2026,95,118,108,260,47,19,41,55,8,2,20,98,244,48,8,611,33,75,76.6,38.4,19.8,109,8.8,13.3,0,,,,,2147,422,0.6446235651586766,2.238532110091743,0.8050847457627118,0.4153846153846154,0.7121212121212122,0.12121212121212122,SG
