name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est
Dion Waiters,4,2012,86,118,41,113,64,51,39,61,26,3,18,67,92,67,12,467,37,76,96,24.1,20.1,48,6.2,16.7,0,-1.4,1.1,12260,8,1442
Tristan Thompson,4,2011,127,261,0,0,48,40,54,98,70,5,138,144,45,34,86,471,36,80,97.8,30.9,19.9,64,6.2,17,0,-2.7,0.9,22807,14,1880
Cody Zeller,4,2013,196,259,0,2,93,84,50,65,56,5,102,188,47,37,45,594,36,84,98.2,29.5,20.3,81,7.5,19.5,0,0.6,1.1,11852,11,1777
Aaron Gordon,4,2014,76,180,16,45,83,59,36,104,54,2,102,201,75,34,39,470,38,80,99.6,31.2,18.4,55,6.5,19.2,0,1.5,0.9,24178,12,1898
Josh Jackson,4,2017,98,173,34,90,74,49,55,94,57,10,81,177,104,59,37,572,35,80,100,30.8,19.9,97,8.2,16.1,0,-3.2,1.4,6727,5,1910
De'Andre Hunter,4,2019,123,157,46,105,73,41,67,89,19,0,52,141,75,22,22,579,38,79,82,32.5,21.2,52,7.7,21.2,0,-1.3,1.2,11745,7,1860
Jaren Jackson Jr.,4,2018,106,133,38,96,30,32,20,23,31,0,52,151,39,21,105,382,35,83,98.6,21.9,18.3,62,4,16.3,0,1.4,1.1,13886,8,1307
Patrick Williams,4,2020,62,74,16,50,28,25,26,46,25,7,37,78,29,29,30,268,29,80,95,22.4,18.4,50,4.5,11.9,0,-1.7,1.3,9148,6,1130
Scottie Barnes,4,2021,41,66,11,40,42,26,26,40,19,2,35,61,98,35,11,248,24,81,99,24.8,19.5,59,4.7,10.1,0,2,1.2,12323,5,1038
Keegan Murray,4,2022,142,190,66,166,133,77,45,66,63,4,100,203,52,45,68,822,35,80,35.6,31.9,21.4,39,4.5,12.9,0,0.8,1.4,8429,4,1938
Stephon Castle,4,2024,83,110,20,75,71,52,23,43,23,3,57,102,99,27,18,377,34,78,98.2,26.9,19.3,51,6.3,20.4,0,2.2,1.8,4111,2,1502
